Title,Authors_Institutes,Submission Date
A Sequence-to-Sequence Approach with Mixed Pointers to Topic Segmentation and Segment Labeling,"Jinxiong Xia (Peking University), Houfeng Wang (Peking University)",Not Found
Open-Set Semi-Supervised Text Classification with Latent Outlier Softening,"Junfan Chen (Beihang University), Richong Zhang (Beihang University), Junchi Chen (Beihang University), Chunming Hu (Beihang University), Yongyi Mao (University of Ottawa)",Not Found
Constraint-Aware and Ranking-Distilled Token Pruning for Efficient Transformer Inference,"Junyan Li (Zhejiang University), Li Lyna Zhang (Microsoft Research), Jiahang Xu (Microsoft Research), Yujing Wang (Microsoft), Shaoguang Yan (Microsoft), Yunqing Xia (Microsoft), Yuqing Yang (Microsoft Research), Ting Cao (Microsoft Research), Hao Sun (Microsoft), Weiwei Deng (Microsoft), Qi Zhang (Microsoft), Mao Yang (Microsoft Research)",June 2023
COMET: Learning Cardinality Constrained Mixture of Experts with Trees and Local Search,"Shibal Ibrahim (Massachusetts Institute of Technology), Wenyu Chen (Massachusetts Institute of Technology), Hussein Hazimeh (Google Research), Natalia Ponomareva (Google Research), Zhe Zhao (Google DeepMind), Rahul Mazumder (Massachusetts Institute of Technology)",June 2023
Kernel Ridge Regression-Based Graph Dataset Distillation,"Zhe Xu (University of Illinois Urbana-Champaign), Yuzhong Chen (Visa Research), Menghai Pan (Visa Research), Huiyuan Chen (Visa Research), Mahashweta Das (Visa Research), Hao Yang (Visa Research), Hanghang Tong (University of Illinois Urbana-Champaign)",Not Found
Efficient Coreset Selection with Cluster-Based Methods,"Chengliang Chai (Beijing Institute of Technology), Jiayi Wang (Tsinghua University), Nan Tang (HKUST(GZ)), Ye Yuan (Beijing Institute of Technology), Jiabin Liu (Beijing Institute of Technology), Yuhao Deng (Beijing Institute of Technology), Guoren Wang (Beijing Institute of Technology)",Not Found
The Information Pathways Hypothesis: Transformers are Dynamic Self-Ensembles,"Md Shamim Hussain (Rensselaer Polytechnic Institute), Mohammed J. Zaki (Rensselaer Polytechnic Institute), Dharmashankar Subramanian (International Business Machines)",June 2023
Off-Policy Evaluation of Ranking Policies under Diverse User Behavior,"Haruka Kiyohara (Hanjuku-Kaso Co., Ltd.), Masatoshi Uehara (Cornell University), Yusuke Narita (Yale University), Nobuyuki Shimizu (Yahoo Japan Corporation), Yasuo Yamamoto (Yahoo Japan Corporation), Yuta Saito (Cornell University)",June 2023
Generative Flow Network for Listwise Recommendation,"Shuchang Liu (Kuaishou Technology), Qingpeng Cai (Kuaishou Technology), Zhankui He (University of California, San Diego), Sun Bowen (Peking University), Julian McAuley (University of California, San Diego), Dong Zheng (Kuaishou Technology), Peng Jiang (Kuaishou Technology), Kun Gai (Unaffiliated)","3 June, 2023"
Rank-heterogeneous Preference Models for School Choice,"Amel Awadelkarim (Stanford University), Arjun Seshadri (Amazon), Itai Ashlagi (Stanford University), Irene Lo (Stanford University), Johan Ugander (Stanford University)",June 2023
Querywise Fair Learning to Rank through Multi-Objective Optimization,"Debabrata Mahapatra (National University of Singapore), Chaosheng Dong (Amazon), Michinari Momma (Amazon)",Not Found
PSLOG: Pretraining with Search Logs for Document Ranking,"Zhan Su (Renmin University of China), Zhicheng Dou (Renmin University of China), Yujia Zhou (Renmin University of China), Ziyuan Zhao (Tencent), Ji-Rong Wen (Engineering Research Center of Next-Generation Intelligent Search and Recommendation, Ministry of Education; Renmin University of China)",Not Found
Reducing Exposure to Harmful Content via Graph Rewiring,"Corinna Coupette (Max Planck Institute for Informatics), Stefan Neumann (KTH Royal Institute of Technology), Aristides Gionis (KTH Royal Institute of Technology)",June 2023
Efficient Approximation Algorithms for Spanning Centrality,"Shiqi Zhang (National University of Singapore; Southern University of Science and Technology), Renchi Yang (Hong Kong Baptist University), Jing Tang (The Hong Kong University of Science and Technology (Guangzhou); The Hong Kong University of Science and Technology), Xiaokui Xiao (National University of Singapore), Bo Tang (Southern University of Science and Technology)","25 May, 2023"
A Higher-Order Temporal H-Index for Evolving Networks,"Lutz Oettershagen (KTH Royal Institute of Technology), Nils M. Kriege (University of Vienna), Petra Mutzel (University of Bonn)",May 2023
Quantifying Node Importance over Network Structural Stability,"Fan Zhang (Guangzhou University), Qingyuan Linghu (University of New South Wales), Jiadong Xie (Chinese University of Hong Kong), Kai Wang (Shanghai Jiao Tong University), Xuemin Lin (Shanghai Jiao Tong University), Wenjie Zhang (University of New South Wales)",Not Found
Efficient Centrality Maximization with Rademacher Averages,Leonardo Pellegrina (University of Padova),June 2023
Accelerating Personalized PageRank Vector Computation,"Zhen Chen (Fudan University), Xingzhi Guo (State University of New York at Stony Brook), Baojian Zhou (Fudan University), Deqing Yang (Fudan University), Steven Skiena (State University of New York at Stony Brook)","3 June, 2023"
Community-based Dynamic Graph Learning for Popularity Prediction,"Shuo Ji (Beihang University), Xiaodong Lu (Beihang University), Mingzhe Liu (Beihang University), Leilei Sun (Beihang University), Chuanren Liu (The University of Tennessee), Bowen Du (Beihang University), Hui Xiong (The Hong Kong University of Science and Technology)",Not Found
"Fair Allocation Over Time, with Applications to Content Moderation","Amine Allouah (Meta), Christian Kroer (Columbia University), Xuan Zhang (Meta), Vashist Avadhanula (Meta), Nona Bohanon (Meta), Anil Dania (Meta), Caner Gocmen (Meta), Sergey Pupyrev (Meta), Parikshit Shah (Meta), Nicolas Stier-Moses (Meta), Ken Rodriguez Taarup (Meta)",Not Found
A Sublinear Time Algorithm for Opinion Optimization in Directed Social Networks via Edge Recommendation,"Xiaotian Zhou (Fudan University), Liwang Zhu (Fudan University), Wei Li (Fudan University), Zhongzhi Zhang (Fudan University)",Not Found
Planning to Fairly Allocate: Probabilistic Fairness in the Restless Bandit Setting,"Christine Herlihy (University of Maryland), Aviva Prins (University of Maryland), Aravind Srinivasan (University of Maryland), John P. Dickerson (University of Maryland)","14 June, 2021"
How Transitive Are Real-World Group Interactions? Measurement and Reproduction,"Sunwoo Kim (KAIST), Fanchen Bu (KAIST), Minyoung Choe (KAIST), Jaemin Yoo (Carnegie Mellon University), Kijung Shin (KAIST)",Not Found
Predicting Information Pathways Across Online Communities,"Yiqiao Jin (Georgia Institute of Technology), Yeon-Chang Lee (Georgia Institute of Technology), Kartik Sharma (Georgia Institute of Technology), Meng Ye (SRI International), Karan Sikka (SRI International), Ajay Divakaran (SRI International), Srijan Kumar (Georgia Institute of Technology)",June 2023
Test Accuracy vs. Generalization Gap: Model Selection in NLP without Accessing Training or Testing Data,"Yaoqing Yang (Dartmouth College), Ryan Theisen (University of California Berkeley), Liam Hodgkinson (University of Melbourne), Joseph E. Gonzalez (University of California, Berkeley), Kannan Ramchandran (University of California Berkeley), Charles H. Martin (Calculation Consulting), Michael W. Mahoney (University of California Berkeley)",Not Found
Deep Pipeline Embeddings for AutoML,"Sebastian Pineda Arango (University of Freiburg), Josif Grabocka (University of Freiburg)","23 May, 2023"
Dependence and Model Selection in LLP: The Problem of Variants,"Gabriel Franco (Boston University), Mark Crovella (Boston University), Giovanni Comarela (Federal University of EspÃ­rito Santo)",Not Found
Rapid Image Labeling via Neuro-Symbolic Learning,"Yifeng Wang (The Hong Kong Polytechnic University), Zhi Tu (Purdue University), Yiwen Xiang (Chongqing University), Shiyuan Zhou (University of Toronto), Xiyuan Chen (University of Toronto), Bingxuan Li (Purdue University), Tianyi Zhang (Purdue University)",June 2023
Efficient and Joint Hyperparameter and Architecture Search for Collaborative Filtering,"Yan Wen (Tsinghua University), Chen Gao (Tsinghua University), Lingling Yi (Tencent Inc.), Liwei Qiu (Tencent Inc.), Yaqing Wang (Baidu Inc.), Yong Li (Tsinghua University)",July 2023
CFGL-LCR: A Counterfactual Graph Learning framework for Legal Case Retrieval,"Kun Zhang (Institute of Computing Technology, Chinese Academy of Sciences), Chong Chen (Huawei Cloud BU.), Yuanzhuo Wang (Institute of Computing Technology, Chinese Academy of Sciences), Qi Tian (Huawei Cloud BU.), Long Bai (Institute of Computing Technology, Chinese Academy of Sciences)",Not Found
Dense Representation Learning and Retrieval for Tabular Data Prediction,"Lei Zheng (Shanghai Jiao Tong University), Ning Li (Shanghai Jiao Tong University), Xianyu Chen (Shanghai Jiao Tong University), Quan Gan (Shanghai Jiao Tong University), Weinan Zhang (Shanghai Jiao Tong University)",Not Found
LEA: Improving Sentence Similarity Robustness to Typos Using Lexical Attention Bias,"Mario Almagro (NielsenIQ Innovation), Emilio AlmazÃ¡n (NielsenIQ Innovation), Diego Ortego (NielsenIQ Innovation), David JimÃ©nez (NielsenIQ Innovation)",July 2023
LightToken: A Task and Model-Agnostic Lightweight Token Embedding Framework for Pre-trained Language Models,"Haoyu Wang (Purdue University), Ruirui Li (Amazon.com Inc), Haoming Jiang (Amazon.com Inc), Zhengyang Wang (Amazon.com Inc), Xianfeng Tang (Amazon.com Inc), Bin Bi (Amazon.com Inc), Monica Cheng (Amazon.com Inc), Bing Yin (Amazon.com Inc), Yaqing Wang (Purdue University), Tuo Zhao (Georgia Institute of Technology), Jing Gao (Purdue University)",Not Found
DyGen: Learning from Noisy Labels via Dynamics-Enhanced Generative Modeling,"Yuchen Zhuang (Georgia Institute of Technology), Yue Yu (Georgia Institute of Technology), Lingkai Kong (Georgia Institute of Technology), Xiang Chen (Adobe Research), Chao Zhang (Georgia Institute of Technology)","30 May, 2023"
GetPt: Graph-enhanced General Table Pre-training with Alternate Attention Network,"Ran Jia (Microsoft), Haoming Guo (University of California, Berkeley), Xiaoyuan Jin (ETH ZÃÂªÂµich), Chao Yan (Peking University), Lun Du (Microsoft), Xiaojun Ma (Microsoft), Tamara Stankovic (Microsoft), Marko Lozajic (Microsoft), Goran Zoranovic (Microsoft), Igor Ilic (Microsoft), Shi Han (Microsoft), Dongmei Zhang (Microsoft)",Not Found
Empower Post-hoc Graph Explanations with Information Bottleneck: A Pre-training and Fine-tuning Perspective,"Jihong Wang (Xi’an Jiaotong University), Minnan Luo (Xi’an Jiaotong University), Jundong Li (University of Virginia), Yun Lin (Shanghai Jiao Tong University), Yushun Dong (University of Virginia), Jin Song Dong (National University of Singapore), Qinghua Zheng (Xi’an Jiaotong University)",Not Found
MixupExplainer: Generalizing Explanations for Graph Neural Networks with Data Augmentation,"Jiaxing Zhang (New Jersey Institute of Technology), Dongsheng Luo (Florida International University), Hua Wei (NJIT; Arizona State University)",July 2023
CounterNet: End-to-End Training of Prediction Aware Counterfactual Explanations,"Hangzhi Guo (Pennsylvania State University), Thanh Hong Nguyen (Pennsylvania State University), Amulya Yadav (Pennsylvania State University)","15 September, 2021"
Fire: An Optimization Approach for Fast Interpretable Rule Extraction,"Brian Liu (Massachusetts Institute of Technology), Rahul Mazumder (Massachusetts Institute of Technology)",June 2023
ESSA: Explanation Iterative Supervision via Saliency-Guided Data Augmentation,"Siyi Gu (Emory University), Yifei Zhang (Emory University), Yuyang Gao (Home Depot), Xiaofeng Yang (Emory University), Liang Zhao (Emory University)",Not Found
A Causality Inspired Framework for Model Interpretation,"Chenwang Wu (University of Science and Technology of China), Xiting Wang (University of Science and Technology of China), Defu Lian (University of Science and Technology of China), Xing Xie (University of Science and Technology of China), Enhong Chen (University of Science and Technology of China)",Not Found
Pyramid Graph Neural Network: A Graph Sampling and Filtering Approach for Multi-Scale Disentangled Representations,"Haoyu Geng (Shanghai Jiao Tong University), Chao Chen (Shanghai Jiao Tong University), Yixuan He (University of Oxford), Gang Zeng (Didi Chuxing), Zhaobing Han (Didi Chuxing), Hua Chai (Didi Chuxing), Junchi Yan (Shanghai Jiao Tong University)",Not Found
What’s Behind the Mask: Understanding Masked Graph Modeling for Graph Autoencoders,"Jintang Li (Sun Yat-sen University), Ruofan Wu (Ant Group), Wangbin Sun (Sun Yat-sen University), Liang Chen (Sun Yat-sen University), Sheng Tian (Ant Group), Liang Zhu (Ant Group), Changhua Meng (Ant Group), Zibin Zheng (Sun Yat-sen University), Weiqiang Wang (Ant Group)","20 May, 2022"
Efficient and Effective Edge-Wise Graph Representation Learning,"Hewen Wang (National University of Singapore), Renchi Yang (Hong Kong Baptist University), Keke Huang (National University of Singapore), Xiaokui Xiao (National University of Singapore)",Not Found
Towards Graph-Level Anomaly Detection via Deep Evolutionary Mapping,"Xiaoxiao Ma (Macquarie University), Jia Wu (Macquarie University), Jian Yang (Macquarie University), Quan Z. Sheng (Macquarie University)",Not Found
VQNE: Variational Quantum Network Embedding with Application to Network Alignment,"Xinyu Ye (Shanghai Jiao Tong University), Ge Yan (Shanghai Jiao Tong University), Junchi Yan (Shanghai Jiao Tong University)",Not Found
CARL-G: Clustering-Accelerated Representation Learning on Graphs,"William Shiao (University of California, Riverside), Uday Singh Saini (University of California, Riverside), Yozen Liu (Snap Inc.), Tong Zhao (Snap Inc.), Neil Shah (Snap Inc.), Evangelos E. Papalexakis (University of California, Riverside)","12 June, 2023"
Optimal Dynamic Subset Sampling: Theory and Applications,"Lu Yi (Renmin University of China), Hanzhi Wang (Renmin University of China), Zhewei Wei (Renmin University of China)","30 May, 2023"
Capacity Constrained Influence Maximization in Social Networks,"Shiqi Zhang (National University of Singapore; Southern University of Science and Technology), Yiqian Huang (Southern University of Science and Technology), Jiachen Sun (Tencent), Wenqing Lin (Tencent), Xiaokui Xiao (National University of Singapore), Bo Tang (Southern University of Science and Technology)",June 2023
"On Improving the Cohesiveness of Graphs by Merging Nodes: Formulation, Analysis, and Algorithms","Fanchen Bu (KAIST), Kijung Shin (KAIST)",June 2023
Densest Diverse Subgraphs: How to Plan a Successful Cocktail Party with Diversity,"Atsushi Miyauchi (CENTAI Institute), Tianyi Chen (Boston University), Konstantinos Sotiropoulos (Boston University), Charalampos E. Tsourakakis (Boston University)",June 2023
Minimizing Hitting Time between Disparate Groups with Shortcut Edges,"Florian Adriaens (University of Helsinki), Honglian Wang (KTH Royal Institute of Technology), Aristides Gionis (KTH Royal Institute of Technology)","6 June, 2023"
Sequential Learning Algorithms for Contextual Model-Free Influence Maximization,"Alexandra Iacob (Universit Paris-Saclay), Bogdan Cautis (Universit Paris-Saclay), Silviu Maniu (Universit Paris-Saclay)",Not Found
Maintaining the Status Quo: Capturing Invariant Relations for OOD Spatiotemporal Learning,"Zhengyang Zhou (University of Science and Technology of China), Qihe Huang (University of Science and Technology of China), Kuo Yang (University of Science and Technology of China), Kun Wang (University of Science and Technology of China), Xu Wang (University of Science and Technology of China), Yudong Zhang (University of Science and Technology of China), Yuxuan Liang (University of Science and Technology of China), Yang Wang (University of Science and Technology of China)",Not Found
Generalizable Low-Resource Activity Recognition with Diverse and Discriminative Representation Learning,"Xin Qin (Beijing Key Lab. of Mobile Com., CAS), Jindong Wang (Microsoft Research Asia), Shuo Ma (Beijing Key Lab. of Mobile Com., CAS), Wang Lu (Beijing Key Lab. of Mobile Com., CAS), Yongchun Zhu (Beijing Key Lab. of Mobile Com., CAS), Xin Xie (Microsoft Research Asia), Yiqiang Chen (Beijing Key Lab. of Mobile Com., CAS)","25 May, 2023"
Localised Adaptive Spatial-Temporal Graph Neural Network,"Wenying Duan (Nanchang University), Xiaoxi He (University of Macau), Zimu Zhou (City University of Hong Kong), Lothar Thiele (ETH Zurich), Hong Rao (Nanchang University)","12 June, 2023"
Spatio-Temporal Diffusion Point Processes,"Yuan Yuan (Department of Electronic Engineering, Tsinghua University), Jingtao Ding (Department of Electronic Engineering, Tsinghua University), Chenyang Shao (Department of Electronic Engineering, Tsinghua University), Depeng Jin (Department of Electronic Engineering, Tsinghua University), Yong Li (Department of Electronic Engineering, Tsinghua University)","21 May, 2023"
ST-iFGSM: Enhancing Robustness of Human Mobility Signature Identification Model via Spatial-Temporal Iterative FGSM,"Mingzhi Hu (Worcester Polytechnic Institute), Xin Zhang (Worcester Polytechnic Institute), Yanhua Li (Worcester Polytechnic Institute), Xun Zhou (University of Iowa), Jun Luo (Lenovo Group Limited)",Not Found
On Hierarchical Disentanglement of Interactive Behaviors for Multimodal Spatiotemporal Data with Incompleteness,"Jiayi Chen (University of Virginia), Aidong Zhang (University of Virginia)",Not Found
Complementary Classifier Induced Partial Label Learning,"Yuheng Jia (Southeast University), Chongjie Si (Shanghai Jiao Tong University), Min-Ling Zhang (Southeast University)",May 2023
Deep Encoders with Auxiliary Parameters for Extreme Classification,"Kunal Dahiya (IIT Delhi), Sachin Yadav (Microsoft Research), Sushant Sondhi (IIT Delhi), Deepak Saini (Microsoft), Sonu Mehta (Microsoft Research; IIT Delhi), Jian Jiao (Microsoft), Sumeet Agarwal (IIT Delhi), Purushottam Kar (IIT Kanpur), Manik Varma (Microsoft Research)",Not Found
Semantic Dissimilarity Guided Locality Preserving Projections for Partial Label Dimensionality Reduction,"Yuheng Jia (Southeast University), Jiahao Jiang (Southeast University), Yongheng Wang (Zhejiang Lab)",Not Found
To Aggregate or Not? Learning with Separate Noisy Labels,"Jiaheng Wei (University of California, Santa Cruz), Zhaowei Zhu (University of California, Santa Cruz), Tianyi Luo (Amazon Search Science and AI), Ehsan Amid (Google Research, Brain Team), Abhishek Kumar (University of California, Santa Cruz), Yang Liu (University of California, Santa Cruz)",Not Found
Partial-label Learning with Mixed Closed-Set and Open-Set Out-of-Candidate Examples,"Shuo He (University of Electronic Science and Technology of China), Lei Feng (Nanyang Technological University), Guowu Yang (University of Electronic Science and Technology of China)","2 July, 2023"
Local Boosting for Weakly-Supervised Learning,"Rongzhi Zhang (Georgia Institute of Technology), Yue Yu (Georgia Institute of Technology), Jiaming Shen (Georgia Institute of Technology), Xiquan Cui (Georgia Institute of Technology), Chao Zhang (Georgia Institute of Technology)",June 2023
One for All: Unified Workload Prediction for Dynamic Multi-Tenant Edge Cloud Platforms,"Shaoyuan Huang (Tianjin University), Zheng Wang (Tianjin University), Heng Zhang (Tianjin University), Xiaofei Wang (Tianjin University), Cheng Zhang (Tianjin University of Finance; Economics), Wenyu Wang (Paiou Cloud Computing (Shanghai) Co., Ltd)",June 2023
GAL-VNE: Solving the VNE Problem with Global Reinforcement Learning and Local One-Shot Neural Prediction,"Haoyu Geng (Shanghai Jiao Tong University), Runzhong Wang (Shanghai Jiao Tong University), Fei Wu (Zhejiang University), Junchi Yan (Shanghai Jiao Tong University)",Not Found
Learning Autoregressive Model in LSM-Tree based Store,"Yunxiang Su (Tsinghua University), Wenxuan Ma (Tsinghua University), Shaoxu Song (Tsinghua University)",Not Found
PERT-GNN: Latency Prediction for Microservice-Based Cloud-Native Applications via Graph Neural Networks,"Da Sun Handason Tam (The Chinese University of Hong Kong), Yang Liu (Shanghai University), Huanle Xu (University of Macau), Siyue Xie (The Chinese University of Hong Kong), Wing Cheong Lau (The Chinese University of Hong Kong)",Not Found
IPOC: An Adaptive Interval Prediction Model based on Online Chasing and Conformal Inference for Large-Scale Systems,"Jiadong Chen (Shanghai Jiao Tong University), Yang Luo (Shanghai Jiao Tong University), Xiuqi Huang (Shanghai Jiao Tong University), Fuxin Jiang (Bytedance Inc.), Yangguang Shi (Shandong University), Tieying Zhang (Bytedance Inc.), Xiaofeng Gao (Shanghai Jiao Tong University)",Not Found
A Dual-Agent Scheduler for Distributed Deep Learning Jobs on Public Cloud via Reinforcement Learning,"Mingzhe Xing (Peking University), Hangyu Mao (Sensetime Research), Shenglin Yin (Peking University), Lichen Pan (Peking University), Zhengchao Zhang (ByteDance), Zhen Xiao (Peking University), Jieyi Long (Theta Labs, Inc.)",Not Found
Treatment Effect Estimation with Adjustment Feature Selection,"Haotian Wang (National University of Defense Technology), Kun Kuang (Zhejiang University), Haoang Chi (Defense Innovation Institute), Longqi Yang (Defense Innovation Institute), Mingyang Geng (National University of Defense Technology), Wanrong Huang (National University of Defense Technology), Wenjing Yang (National University of Defense Technology)",Not Found
Specify Robust Causal Representation from Mixed Observations,"Mengyue Yang (University College London), Xinyu Cai (Nanyang Technological University), Furui Liu (Zhejiang Lab), Weinan Zhang (Shanghai Jiao Tong University), Jun Wang (University College London)",October 2023
CF-GODE: Continuous-Time Causal Inference for Multi-Agent Dynamical Systems,"Song Jiang (University of California, Los Angeles), Zijie Huang (University of California, Los Angeles), Xiao Luo (University of California, Los Angeles), Yizhou Sun (University of California, Los Angeles)",June 2023
Detecting Interference in Online Controlled Experiments with Increasing Allocation,"Kevin Han (Stanford University), Shuangning Li (Harvard University), Jialiang Mao (LinkedIn Corporation), Han Wu (Stanford University)",Not Found
Causal Effect Estimation on Hierarchical Spatial Graph Data,"Koh Takeuchi (Kyoto University), Ryo Nishida (AIST), Hisashi Kashima (Kyoto University), Masaki Onishi (AIST)",Not Found
Communication Efficient Distributed Newton Method with Fast Convergence Rates,"Chengchang Liu (The Chinese University of Hong Kong), Lesi Chen (Fudan University), Luo Luo (Fudan University), John Lui (Chinese University of Hong Kong)",May 2023
Decoupled Rationalization with Asymmetric Learning Rates: A Flexible Lipschitz Restraint,"Wei Liu (School of Computer Science and Technology, Huazhong University of Science and Technology), Jun Wang (iWudao.tech), Haozhao Wang (School of Computer Science and Technology, Huazhong University of Science and Technology), Ruixuan Li (School of Computer Science and Technology, Huazhong University of Science and Technology), Yang Qiu (School of Computer Science and Technology, Huazhong University of Science and Technology), YuanKai Zhang (School of Computer Science and Technology, Huazhong University of Science and Technology), Jie Han (School of Computer Science and Technology, Huazhong University of Science and Technology), Yixiong Zou (School of Computer Science and Technology, Huazhong University of Science and Technology)","22 May, 2023"
Sharpness-Aware Minimization Revisited: Weighted Sharpness as a Regularization Term,"Yun Yue (Ant Group), Jiadi Jiang (Ant Group), Zhiling Ye (Ant Group), Ning Gao (Ant Group), Yongchao Liu (Ant Group), Ke Zhang (Ant Group)","25 May, 2023"
Fragility Index: A New Approach for Binary Classification,"Chen Yang (Hong Kong University of Science and Technology), Ziqiang Zhang (Alibaba Group), Bo Cao (Alibaba Group), Zheng Cui (Zhejiang University), Bin Hu (CITIC Securities), Tong Li (Alibaba Group), Daniel Zhuoyu Long (The Chinese University of Hong Kong), Jin Qi (Hong Kong University of Science and Technology), Feng Wang (Alibaba Group), Ruohan Zhan (Hong Kong University of Science and Technology)",Not Found
Approximation Algorithms for Size-Constrained Non-Monotone Submodular Maximization in Deterministic Linear Time,"Yixin Chen (Texas AM University), Alan Kuhnle (Texas AM University)","14 April, 2021"
Efficient Sparse Linear Bandits under High Dimensional Data,"Xue Wang ( Alibaba Group US), Mike Mingcheng Wei (University at Buffalo), Tao Yao (The Chinese University of Hong Kong, Shenzhen)",Not Found
Improving the Expressiveness of K-hop Message-Passing GNNs by Injecting Contextualized Substructure Information,"Tianjun Yao (Mohamed bin Zayed University of Artificial Intelligence), Yingxu Wang (Mohamed bin Zayed University of Artificial Intelligence), Kun Zhang (Carnegie Mellon University), Shangsong Liang (Mohamed bin Zayed University of Artificial Intelligence)",June 2024
A Message Passing Neural Network Space for Better Capturing Data-dependent Receptive Fields,"Zhili Wang (HKUST), Shimin Di (HKUST), Lei Chen (HKUST (GZ); HKUST)",Not Found
On Structural Expressive Power of Graph Transformers,"Wenhao Zhu (Peking University), Tianyu Wen (Peking University), Guojie Song (Peking University), Liang Wang (Alibaba Group), Bo Zheng (Alibaba Group)",May 2023
MGNN: Graph Neural Networks Inspired by Distance Geometry Problem,"Guanyu Cui (Renmin University of China), Zhewei Wei (Renmin University of China)","30 January, 2022"
Improving Expressivity of GNNs with Subgraph-specific Factor Embedded Normalization,"Kaixuan Chen (Zhejiang University), Shunyu Liu (Zhejiang University), Tongtian Zhu (Zhejiang University), Ji Qiao (China Electric Power Research Institute), Yun Su (State Grid Shanghai Municipal Electric Power Company), Yingjie Tian (State Grid Shanghai Municipal Electric Power Company), Tongya Zheng (Zhejiang University), Haofei Zhang (Zhejiang University), Zunlei Feng (Zhejiang University), Jingwen Ye (Zhejiang University), Mingli Song (Zhejiang University)","31 May, 2023"
Text Is All You Need: Learning Language Representations for Sequential Recommendation,"Jiacheng Li (University of California, San Diego), Ming Wang (Amazon), Jin Li (Amazon), Jinmiao Fu (Amazon), Xin Shen (Amazon), Jingbo Shang (University of California, San Diego), Julian McAuley (University of California, San Diego)","23 May, 2023"
MAP: A Model-agnostic Pretraining Framework for Click-Through Rate Prediction,"Jianghao Lin (Shanghai Jiao Tong University), Yanru Qu (Shanghai Jiao Tong University), Wei Guo (Huawei Noah’s Ark Lab), Xinyi Dai (Shanghai Jiao Tong University), Ruiming Tang (Huawei Noah’s Ark Lab), Yong Yu (Shanghai Jiao Tong University), Weinan Zhang (Shanghai Jiao Tong University)",August 2023
Cognitive Evolutionary Search to Select Feature Interactions for Click-Through Rate Prediction,"Runlong Yu (University of Science and Technology of China; State Key Laboratory of Cognitive Intelligence), Xiang Xu (University of Science and Technology of China; State Key Laboratory of Cognitive Intelligence), Yuyang Ye (Rutgers University), Qi Liu (University of Science and Technology of China; State Key Laboratory of Cognitive Intelligence), Enhong Chen (University of Science and Technology of China; State Key Laboratory of Cognitive Intelligence)",Not Found
PrefRec: Recommender Systems with Human Preferences for Reinforcing Long-Term User Engagement,"Wanqi Xue (Nanyang Technological University), Qingpeng Cai (Kuaishou Technology), Zhenghai Xue (Nanyang Technological University), Shuo Sun (Nanyang Technological University), Shuchang Liu (Kuaishou Technology), Dong Zheng (Kuaishou Technology), Peng Jiang (Kuaishou Technology), Kun Gai (Unaffiliated), Bo An (Nanyang Technological University)","6 December, 2022"
Efficient Bi-Level Optimization for Recommendation Denoising,"Zongwei Wang (University of Chongqing), Min Gao (University of Chongqing), Wentao Li (The Hong Kong University of Science and Technology (Guangzhou)), Junliang Yu (University of Queensland), Linxin Guo (University of Chongqing), Hongzhi Yin (University of Queensland)","19 October, 2022"
