Title,Authors,Institutes,Submission Date
Bridging Discrete and Backpropagation: Straight-Through and Beyond,"['Liyuan Liu', 'Chengyu Dong', 'Xiaodong Liu', 'Bin Yu', 'Jianfeng Gao']","['Microsoft(microsoft.com)', 'Computer Science & Engineering,University of California, San Diego(ucsd.edu)', 'Microsoft Research(microsoft.com)', 'Statistics,University of California Berkeley(berkeley.edu)', 'Microsoft Research,Microsoft Research(microsoft.com)']","17 April, 2023"
A Rigorous Link between Deep Ensembles and (Variational) Bayesian Methods,"['Veit David Wild', 'Sahra Ghalebikesabi', 'Dino Sejdinovic', 'Jeremias Knoblauch']","['University of Oxford(ox.ac.uk)', 'Not Found', 'University of Adelaide(adelaide.edu.au)', 'Alan Turing Institute(turing.ac.uk)']","24 May, 2023"
Random Cuts are Optimal for Explainable k-Medians,"['Konstantin Makarychev', 'Liren Shan']","['Northwestern University(northwestern.edu)', 'Toyota Technological Institute at Chicago(ttic.edu)']",April 2023
Entropic Neural Optimal Transport via Diffusion Processes,"['Nikita Gushchin', 'Alexander Kolesov', 'Alexander Korotin', 'Dmitry P. Vetrov', 'Evgeny Burnaev']","['Applied AI Institute(applied-ai.ru)', 'Applied AI Institute(applied-ai.ru)', 'Not Found', 'Department of computer science,Constructor University(constructor.university)', 'Applied AI Institute(applied-ai.ru)']","2 November, 2022"
Transformers as Statisticians: Provable In-Context Learning with In-Context Algorithm Selection,"['Yu Bai', 'Fan Chen', 'Huan Wang', 'Caiming Xiong', 'Song Mei']","['OpenAI(openai.com)', 'EECS,Massachusetts Institute of Technology(mit.edu)', 'Salesforce Research,Salesforce.com(salesforce.com)', 'Salesforce Research(salesforce.com)', 'University of California Berkeley(berkeley.edu)']","7 June, 2023"
A Measure-Theoretic Axiomatisation of Causality,"['Junhyung Park', 'Simon Buchholz', 'Bernhard Schölkopf', 'Krikamol Muandet']","['Statistical Machine Learning Group,Department of Computer Science, ETHZ - ETH Zurich(inf.ethz.ch)', 'Max-Planck Institute(mpg.de)', 'Not Found', 'Rational Intelligence Lab,CISPA Helmholtz Center for Information Security(cispa.saarland)']","19 May, 2023"
Abide by the law and follow the flow: conservation laws for gradient flows,"['Sibylle Marcotte', 'Rémi Gribonval', 'Gabriel Peyré']","['Ecole Normale Supérieure de Paris(ens.fr)', 'Not Found', 'DMA,ENS(ens.fr)']","30 June, 2023"
Jailbroken: How Does LLM Safety Training Fail?,"['Alexander Wei', 'Nika Haghtalab', 'Jacob Steinhardt']","['University of California Berkeley(berkeley.edu)', 'EECS,University of California Berkeley(berkeley.edu)', 'University of California Berkeley(berkeley.edu)']",Not Found
Characteristic Circuits,"['Zhongjie Yu', 'Martin Trapp', 'Kristian Kersting']","['TU Darmstadt(tu-darmstadt.de)', 'Aalto University(aalto.fi)', 'German Research Center for AI(dfki.de)']",June 2025
Generalizing Nonlinear ICA Beyond Structural Sparsity,"['Yujia Zheng', 'Kun Zhang']","['Carnegie Mellon University(cmu.edu)', 'Mohamed bin Zayed University of Artificial Intelligence(mbzuai.ac.ae)']",November 2023
When Do Transformers Shine in RL? Decoupling Memory from Credit Assignment,"['Tianwei Ni', 'Michel Ma', 'Benjamin Eysenbach', 'Pierre-Luc Bacon']","['University of Montreal(umontreal.ca)', 'University of Montreal(umontreal.ca)', 'Princeton University(princeton.edu)', 'Not Found']",Not Found
Rethinking Bias Mitigation: Fairer Architectures Make for Fairer Face Recognition,"['Samuel Dooley', 'Rhea Sanjay Sukthanker', 'John P Dickerson', 'Colin White', 'Frank Hutter', 'Micah Goldblum']","['Not Found', 'University of Freiburg, Albert-Ludwigs-Universität Freiburg(cs.uni-freiburg.de)', 'University of Maryland, College Park(umd.edu)', 'Facebook(meta.com)', 'Prior Labs(priorlabs.ai)', 'Electrical Engineering,Columbia University(columbia.edu)']","18 October, 2022"
Privacy Auditing with One (1) Training Run,"['Thomas Steinke', 'Milad Nasr', 'Matthew Jagielski']","['Google DeepMind(deepmind.com)', 'OpenAI(openai.com)', 'Anthropic(anthropic.com)']",May 2023
Understanding Diffusion Objectives as the ELBO with Simple Data Augmentation,"['Diederik P Kingma', 'Ruiqi Gao']","['Google(google.com)', 'Google(google.com)']","1 March, 2023"
Improved Algorithms for Stochastic Linear Bandits Using Tail Bounds for Martingale Mixtures,"['Hamish Flynn', 'David Reeb', 'Melih Kandemir', 'Jan Peters']","['Not Found', 'Bosch Center for Artificial Intelligence,Robert Bosch GmbH, Bosch(de.bosch.com)', 'University of Southern Denmark(sdu.dk)', 'Systems AI for Robot Learning,German Research Center for AI(dfki.de)']","25 September, 2023"
"Spatial-frequency channels, shape bias, and adversarial robustness","['Ajay Subramanian', 'Elena Sizikova', 'Najib J. Majaj', 'Denis G. Pelli']","['Department of Psychology,New York University(nyu.edu)', 'Food and Drug Administration(fda.hhs.gov)', 'New York University(nyu.edu)', 'Not Found']","22 September, 2023"
