Title,Authors_Institutes,Submission Date
QGRL: Quaternion Graph Representation Learning for Heterogeneous Feature Data Clustering,"Junyang Chen (School of Computer Science and Technology, Guangdong University of Technology); Yuzhu Ji (School of Computer Science and Technology, Guangdong University of Technology); Rong Zou (Department of Computer Science, Hong Kong Baptist University); Yiqun Zhang (School of Computer Science and Technology, Guangdong University of Technology); Yiu-ming Cheung (Department of Computer Science, Hong Kong Baptist University)",Not Found
Effective Clustering on Large Attributed Bipartite Graphs,Renchi Yang (Hong Kong Baptist University); Yidu Wu (Chinese University of Hong Kong); Xiaoyang Lin (Hong Kong Baptist University); Qichen Wang (Hong Kong Baptist University); Tsz Nam Chan (Shenzhen University); Jieming Shi (The Hong Kong Polytechnic University),May 2024
ProCom: A Few-shot Targeted Community Detection Algorithm,"Xixi Wu (Shanghai Key Laboratory of Data Science, School of Computer Science, Fudan University); Kaiyu Xiong (Shanghai Key Laboratory of Data Science, School of Computer Science, Fudan University); Yun Xiong (Shanghai Key Laboratory of Data Science, School of Computer Science, Fudan University); Xiaoxin He (National University of Singapore); Yao Zhang (Shanghai Key Laboratory of Data Science, School of Computer Science, Fudan University); Yizhu Jiao (University of Illinois at Urbana-Champaign); Jiawei Zhang (IFM Lab, Department of Computer Science, University of California, Davis)",August 2024
Pre-train and Refine: Towards Higher Efficiency in K-Agnostic Community Detection without Quality Degradation,"Meng Qin (Department of CSE, HKUST); Chaorui Zhang (Theory Lab, Huawei); Yu Gao (Theory Lab, Huawei); Weixi Zhang (Theory Lab, Huawei); Dit-Yan Yeung (Department of CSE, HKUST)","30 May, 2024"
Evading Community Detection via Counterfactual Neighborhood Search,Andrea Bernini (Sapienza University of Rome); Fabrizio Silvestri (Sapienza University of Rome); Gabriele Tolomei (Sapienza University of Rome),"13 October, 2023"
FRNet: Frequency-based Rotation Network for Long-term Time Series Forecasting,"Zhang Xinyu (Harbin Institute of Technology); Shanshan Feng (Centre for Frontier AI Research, A*STAR, Institute of High Performance Computing, A*STAR); Jianghong Ma (Harbin Institute of Technology); Huiwei Lin (Harbin Institute of Technology); Xutao Li (Harbin Institute of Technology); Yunming Ye (Harbin Institute of Technology); Li Fan (Hong Kong Polytechnic University); Yew Soon Ong (Centre for Frontier AI Research, A*STAR, Nanyang Technological University)",Not Found
Generative Pretrained Hierarchical Transformer for Time Series Forecasting,"Zhiding Liu (State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China); Jiqian Yang (State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China); Mingyue Cheng (State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China); Yucong Luo (State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China); Zhi Li (Shenzhen International Graduate School, Tsinghua University)","26 February, 2024"
Fredformer: Frequency Debiased Transformer for Time Series Forecasting,"Xihao Piao (SANKEN, Osaka University); Zheng Chen (SANKEN, Osaka University); Taichi Murayama (SANKEN, Osaka University); Yasuko Matsubara (SANKEN, Osaka University); Yasushi Sakurai (SANKEN, Osaka University)","13 June, 2024"
Addressing Prediction Delays in Time Series Forecasting: A Continuous GRU Approach with Derivative Regularization,Sheo Yon Jhin (Yonsei University); Seojin Kim (Yonsei University); Noseong Park (KAIST),July 2024
GinAR: An End-To-End Multivariate Time Series Forecasting Model Suitable for Variable Missing,"Chengqing Yu (Institute of Computing Technology, Chinese Academy of Sciences, University of Chinese Academy of Sciences); Fei Wang (Institute of Computing Technology, Chinese Academy of Sciences, University of Chinese Academy of Sciences); Zezhi Shao (Institute of Computing Technology, Chinese Academy of Sciences, University of Chinese Academy of Sciences); Tangwen Qian (Institute of Computing Technology, Chinese Academy of Sciences); Zhao Zhang (Institute of Computing Technology, Chinese Academy of Sciences); Wei Wei (School of Computer Science and Technology, Huazhong University of Science and Technology); Yongjun Xu (Institute of Computing Technology, Chinese Academy of Sciences)",May 2024
AutoXPCR: Automated Multi-Objective Model Selection for Time Series Forecasting,"Raphael Fischer (Lamarr Institute for Machine Learning and Artificial Intelligence, TU Dortmund University); Amal Saadallah (Lamarr Institute for Machine Learning and Artificial Intelligence, TU Dortmund University)",December 2023
Calibration of Time-Series Forecasting: Detecting and Adapting Context-Driven Distribution Shift,Mouxiang Chen (Zhejiang University); Lefei Shen (Zhejiang University); Han Fu (Zhejiang University); Zhuo Li (State Street Technology (Zhejiang) Ltd.); Jianling Sun (Zhejiang University); Chenghao Liu (Salesforce Research Asia),"23 October, 2023"
RHiOTS: A Framework for Evaluating Hierarchical Time Series Forecasting Algorithms,"Luis Roque (LIACC/Faculty of Engineering, University of Porto); Carlos Soares (LIACC/Faculty of Engineering, University of Porto, Fraunhofer AICOS Portugal); Luís Torgo (Dalhousie University)",August 2024
Statistical Models of Top-k Partial Orders with Variable k,Amel Awadelkarim (Stanford University); Johan Ugander (Stanford University),Not Found
Learning the Covariance of Treatment Effects Across Many Weak Experiments,Aurelien Bibaut (Netflix); Winston Chou (Netflix); Simon Ejdemyr (Netflix); Nathan Kallus (Cornell University),"27 February, 2024"
Provable Adaptivity of Adam under Non-uniform Smoothness,"Bohan Wang (University of Science and Technology of China & Microsoft Research Asia); Yushun Zhang (The Chinese University of Hong Kong, Shenzhen); Huishuai Zhang (Peking University); Qi Meng (Chinese Academy of Mathematics and Systems Science); Ruoyu Sun (The Chinese University of Hong Kong, Shenzhen); Zhi-Ming Ma (Chinese Academy of Mathematics and Systems Science); Tie-Yan Liu (Microsoft); Zhi-Quan Luo (The Chinese University of Hong Kong, Shenzhen); Wei Chen (Institute of Computing Technology, Chinese Academy of Sciences)","21 August, 2022"
Label Shift Correction via Bidirectional Marginal Distribution Matching,Ruidong Fan (National University of Defense Technology); Xiao Ouyang (National University of Defense Technology); Hong Tao (National University of Defense Technology); Chenping Hou (National University of Defense Technology),Not Found
Top-Down Bayesian Posterior Sampling for Sum-Product Networks,Soma Yokoi (The University of Tokyo); Issei Sato (The University of Tokyo),June 2024
Estimated Judge Reliabilities for Weighted Bradley-Terry-Luce Are Not Reliable,Andrew F. Dreher (The University of Texas at Austin); Etienne Vouga (The University of Texas at Austin); Donald S. Fussell (The University of Texas at Austin),Not Found
Budgeted Multi-Armed Bandits with Asymmetric Confidence Intervals,Marco Heyden (Karlsruhe Institute of Technology); Vadim Arzamasov (Karlsruhe Institute of Technology); Edouard Fouché (Karlsruhe Institute of Technology); Klemens Böhm (Karlsruhe Institute of Technology),"12 June, 2023"
A Uniformly Bounded Correlation Function for Spatial Point Patterns,Evgenia Martynova (Radboud University Medical Center); Johannes Textor (Radboud University),Not Found
Pre-Training and Prompting for Few-Shot Node Classification on Text-Attributed Graphs,"Huanjing Zhao (Tsinghua University); Beining Yang (University of Edinburgh); Yukuo Cen (Zhipu AI); Junyu Ren (Software Engineering, Tsinghua University); Chenhui Zhang (Zhipu AI); Yuxiao Dong (Tsinghua University); Evgeny Kharlamov (Bosch Center for Artifcial Intelligence); Shu Zhao (Anhui University); Jie Tang (Tsinghua University)",July 2024
All in One and One for All: A Simple yet Effective Method towards Cross-domain Graph Pretraining,"Haihong Zhao (Data Science and Analytics Thrust, The Hong Kong University of Science and Technology (Guangzhou)); Aochuan Chen (Data Science and Analytics Thrust, The Hong Kong University of Science and Technology (Guangzhou)); Xiangguo Sun (Department of Systems Engineering and Engineering Management, and Shun Hing Institute of Advanced Engineering, The Chinese University of Hong Kong); Hong Cheng (Department of Systems Engineering and Engineering Management, and Shun Hing Institute of Advanced Engineering, The Chinese University of Hong Kong); Jia Li (Data Science and Analytics Thrust, The Hong Kong University of Science and Technology (Guangzhou))","15 February, 2024"
Efficient Topology-aware Data Augmentation for High-Degree Graph Neural Networks,Yurui Lai (Hong Kong Baptist University); Xiaoyang Lin (Hong Kong Baptist University); Renchi Yang (Hong Kong Baptist University); Hongtao Wang (Hong Kong Baptist University),"8 June, 2024"
The Heterophily Snowflake Hypothesis: Training and Empowering GNNs for Heterophilic Graphs,Kun Wang (University of Science and Technology of China); Guibin Zhang (Tongji University); Xinnan Zhang (University of Minnesota); Junfeng Fang (University of Science and Technology of China); Xun Wu (Tsinghua University); Guohao Li (University of Oxford); Shirui Pan (Griffith University); Wei Huang (RIKEN AIP); Yuxuan Liang (The Hong Kong University of Science and Technology (Guangzhou)),Not Found
Predicting Long-term Dynamics of Complex Networks via Identifying Skeleton in Hyperbolic Space,"Ruikun Li (Shenzhen International Graduate School, Tsinghua University); Huandong Wang (Department of Electronic Engineering BNRist, Tsinghua University); Jinghua Piao (Department of Electronic Engineering BNRist, Tsinghua University); Qingmin Liao (Shenzhen International Graduate School, Tsinghua University); Yong Li (Department of Electronic Engineering BNRist, Tsinghua University)",August 2024
RoutePlacer: An End-to-End Routability-Aware Placer with Graph Neural Network,"Yunbo Hou (School of Software and Microelectronics, Peking University); Haoran Ye (National Key Laboratory of General Artificial Intelligence, School of Intelligence Science and Technology, Peking University); Yingxue Zhang (Huawei Noah’s Ark Lab); Siyuan Xu (Huawei Noah’s Ark Lab); Guojie Song (National Key Laboratory of General Artificial Intelligence, School of Intelligence Science and Technology, Peking University)",June 2024
AdaGMLP: AdaBoosting GNN-to-MLP Knowledge Distillation,Weigang Lu (Xidian University); Ziyu Guan (Xidian University); Wei Zhao (Xidian University); Yaming Yang (Xidian University),May 2024
GeoMix: Towards Geometry-Aware Data Augmentation,"Wentao Zhao (Department of Computer Science and Engineering, MoE Key Lab of Artificial Intelligence, Shanghai Jiaotong University); Qitian Wu (Department of Computer Science and Engineering, MoE Key Lab of Artificial Intelligence, Shanghai Jiaotong University); Chenxiao Yang (Department of Computer Science and Engineering, MoE Key Lab of Artificial Intelligence, Shanghai Jiaotong University); Junchi Yan (Department of Computer Science and Engineering, MoE Key Lab of Artificial Intelligence, Shanghai Jiao Tong University)",July 2024
On (Normalised) Discounted Cumulative Gain as an Off-Policy Evaluation Metric for Top-$n$ Recommendation,Olivier Jeunen (ShareChat); Ivan Potapov (ShareChat); Aleksei Ustimenko (ShareChat),"27 July, 2023"
Double Correction Framework for Denoising Recommendation,"Zhuangzhuang He (Hefei University of Technology); Yifan Wang (Tsinghua University); Yonghui Yang (Hefei University of Technology); Peijie Sun (Tsinghua University); Le Wu (Hefei University of Technology, Institute of Dataspace, Hefei Comprehensive National Science Center); Bai Haoyue (Hefei University of Technology); Jinqi Gong (University of Macau); Richang Hong (Hefei University of Technology, Institute of Dataspace, Hefei Comprehensive National Science Center); Min Zhang (Tsinghua University)","18 May, 2024"
Mitigating Negative Transfer in Cross-Domain Recommendation via Knowledge Transferability Enhancement,"Zijian Song (School of CS, Peking University, National Engineering Laboratory for Big Data Analysis and Applications, Peking University); WenHan Zhang (School of CS, Peking University, National Engineering Laboratory for Big Data Analysis and Applications, Peking University); Lifang Deng (Lazada Group); Jiandong Zhang (Lazada Group); Wu Zhihua (Lazada Group); Kaigui Bian (School of CS, Peking University, National Engineering Laboratory for Big Data Analysis and Applications, Peking University); Bin Cui (School of CS, Peking University, National Engineering Laboratory for Big Data Analysis and Applications, Peking University)",Not Found
"Revisiting Reciprocal Recommender Systems: Metrics, Formulation, and Method","Chen Yang (Nanbeige Lab, BOSS Zhipin, Gaoling School of Artificial Intelligence, Renmin University of China); Sunhao Dai (Gaoling School of Artificial Intelligence, Renmin University of China); Yupeng Hou (University of California, San Diego); Wayne Xin Zhao (Gaoling School of Artificial Intelligence, Renmin University of China); Jun Xu (Gaoling School of Artificial Intelligence, Renmin University of China); Yang Song (Nanbeige Lab, BOSS Zhipin); Hengshu Zhu (Career Science Lab, BOSS Zhipin)",August 2024
Maximum-Entropy Regularized Decision Transformer with Reward Relabelling for Dynamic Recommendation,"Xiaocong Chen (Data 61, CSIRO); Siyu Wang (The University of New South Wales); Lina Yao (Data 61, CSIRO, The University of New South Wales)",June 2024
Warming Up Cold-Start CTR Prediction by Learning Item-Specific Feature Interactions,"Yaqing Wang (Baidu Research, Baidu Inc.); Hongming Piao (Department of Computer Science, City University of Hong Kong); Daxiang Dong (Baidu AI Cloud, Baidu Inc.); Quanming Yao (Department of Electronic Engineering, Tsinghua University); Jingbo Zhou (Baidu Research, Baidu Inc.)",July 2024
Improving Multi-modal Recommender Systems by Denoising and Aligning Multi-modal Content and User Feedback,"Guipeng Xv (School of Informatics, Xiamen University); Xinyu Li (School of Informatics, Xiamen University); Ruobing Xie (Tencent); Chen Lin (School of Informatics, Xiamen University); Chong Liu (Tencent); Feng Xia (Tencent); Zhanhui Kang (Tencent); Leyu Lin (Tencent)","18 June, 2024"
Popularity-Aware Alignment and Contrast for Mitigating Popularity Bias,"Miaomiao Cai (Hefei University of Technology); Lei Chen (Tsinghua University); Yifan Wang (DCST, Tsinghua University); Haoyue Bai (Hefei University of Technology); Peijie Sun (DCST, Tsinghua University); Le Wu (Hefei University of Technology); Min Zhang (DCST, Tsinghua University, Quan Cheng Laboratory); Meng Wang (Hefei University of Technology)","31 May, 2024"
Low Rank Multi-Dictionary Selection at Scale,"Boya Ma (Department of Computer Science, University at Albany, State University of New York); Maxwell McNeil (Department of Computer Science, University at Albany, State University of New York); Abram Magner (Department of Computer Science, University at Albany, State University of New York); Petko Bogdanov (Department of Computer Science, University at Albany, State University of New York)",June 2024
Team up GBDTs and DNNs: Advancing Efficient and Effective Tabular Prediction with Tree-hybrid MLPs,Jiahuan Yan (Zhejiang University); Jintai Chen (University of Illinois at Urbana-Champaign); Qianxing Wang (Zhejiang University); Danny Z. Chen (University of Notre Dame); Jian Wu (Zhejiang University),July 2024
Approximate Matrix Multiplication over Sliding Windows,Ziqi Yao (East China Normal University); Lianzhi Li (East China Normal University); Mingsong Chen (East China Normal University); Xian Wei (East China Normal University); Cheng Chen (East China Normal University),February 2025
Scalable Rule Lists Learning with Sampling,"Leonardo Pellegrina (Department of Information Engineering, University of Padova); Fabio Vandin (Department of Information Engineering, University of Padova)",June 2024
Efficient Exploration of the Rashomon Set of Rule Set Models,Martino Ciaperoni (Aalto University); Han Xiao (The Upright Project); Aristides Gionis (KTH Royal Institute of Technology),June 2024
Fast Multidimensional Partial Fourier Transform with Automatic Hyperparameter Selection,Yong-chan Park (Seoul National University); Jongjin Kim (Seoul National University); U Kang (Seoul National University),Not Found
Approximating Memorization Using Loss Surface Geometry for Dataset Pruning and Summarization,"Andrea Agiollo (Department of Computer Science and Engineering, University of Bologna); Young In Kim (Department of Computer Science, Purdue University); Rajiv Khanna (Department of Computer Science, Purdue University)",Not Found
EcoVal: An Efficient Data Valuation Framework for Machine Learning,"Ayush Tarun (Ola Krutrim); Vikram Chundawat (RespAI Lab, India); Murari Mandal (RespAI Lab, India, Kalinga Institute of Industrial Technology (KIIT)); Hong Ming Tan (NUS Business School, National University of Singapore); Bowei Chen (Adam Smith Business School, University of Glasgow); Mohan Kankanhalli (National University of Singapore)","14 February, 2024"
Robust Auto-Bidding Strategies for Online Advertising,Qilong Lin (Shanghai Jiao Tong University); Zhenzhe Zheng (Shanghai Jiao Tong University); Fan Wu (Shanghai Jiao Tong University),Not Found
InLN: Knowledge-aware Incremental Leveling Network for Dynamic Advertising,"Xujia Li (Hong Kong University of Science and Technology); Jingshu Peng (Hong Kong University of Science and Technology); Lei Chen (Hong Kong University of Science and Technology (Guangzhou), Hong Kong University of Science and Technology)",Not Found
Joint Auction in the Online Advertising Market,"Zhen Zhang (Gaoling School of Artificial Intelligence, Renmin University of China); Weian Li (School of Software, Shandong University); Yahui Lei (Meituan Inc.); Bingzhe Wang (Gaoling School of Artificial Intelligence, Renmin University of China); Zhicheng Zhang (Gaoling School of Artificial Intelligence, Renmin University of China); Qi Qi (Gaoling School of Artificial Intelligence, Renmin University of China); Qiang Liu (Meituan Inc.); Xingxing Wang (Meituan Inc.)",August 2024
Auctions with LLM Summaries,Avinava Dubey (Google Research); Zhe Feng (Google Research); Rahul Kidambi (Google Research); Aranyak Mehta (Google Research); Di Wang (Google Research),April 2024
Bi-Objective Contract Allocation for Guaranteed Delivery Advertising,"Yan Li (Key Laboratory of System Software (Chinese Academy of Sciences) and State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences, School of Computer Science and Technology, University of Chinese Academy of Sciences); Yundu Huang (Alibaba Group); Wuyang Mao (Alibaba Group); Furong Ye (Key Laboratory of System Software (Chinese Academy of Sciences) and State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences); Xiang He (Key Laboratory of System Software (Chinese Academy of Sciences) and State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences, School of Computer Science and Technology, University of Chinese Academy of Sciences); Zhonglin Zu (Alibaba Group); Shaowei Cai (Key Laboratory of System Software (Chinese Academy of Sciences) and State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences, School of Computer Science and Technology, University of Chinese Academy of Sciences)",Not Found
Optimized Cost Per Click in Online Advertising: A Theoretical Analysis,"Kaichen Zhang (Thrust of Artificial Intelligence, The Hong Kong University of Science and Technology (Guangzhou)); Zixuan Yuan (Thrust of Artificial Intelligence, The Hong Kong University of Science and Technology (Guangzhou)); Hui Xiong (Thrust of Artificial Intelligence, The Hong Kong University of Science and Technology (Guangzhou), Department of Computer Science and Engineering, Hong Kong University of Science and Technology)",May 2024
Truthful Bandit Mechanisms for Repeated Two-stage Ad Auctions,"Haoming Li (Shanghai Jiaotong University); Yumou Liu (The Chinese University of Hong Kong, Shenzhen); Zhenzhe Zheng (Shanghai Jiao Tong University); Zhilin Zhang (Alibaba Group); Jian Xu (Alibaba Group); Fan Wu (Shanghai Jiao Tong University)",Not Found
An Efficient Local Search Algorithm for Large GD Advertising Inventory Allocation with Multilinear Constraints,"Xiang He (Key Laboratory of System Software (Chinese Academy of Sciences) and State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences, School of Computer Science and Technology, University of Chinese Academy of Sciences); Wuyang Mao (Alibaba Group); Zhenghang Xu (Key Laboratory of Symbolic Computation and Knowledge Engineering Ministry of Education, Jilin University); Yuanzhe Gu (Alibaba Group); Yundu Huang (Alibaba Group); Zhonglin Zu (Alibaba Group); Liang Wang (Alibaba Group); Mengyu Zhao (Key Laboratory of System Software (Chinese Academy of Sciences) and State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences, School of Computer Science and Technology, University of Chinese Academy of Sciences); Mengchuan Zou (Key Laboratory of System Software (Chinese Academy of Sciences) and State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences)",Not Found
Automatic Multi-Task Learning Framework with Neural Architecture Search in Recommendations,"Shen Jiang (State Key Laboratory for Novel Software Technology, Nanjing University); Guanghui Zhu (State Key Laboratory for Novel Software Technology, Nanjing University); Yue Wang (State Key Laboratory for Novel Software Technology, Nanjing University); Chunfeng Yuan (State Key Laboratory for Novel Software Technology, Nanjing University); Yihua Huang (State Key Laboratory for Novel Software Technology, Nanjing University)",Not Found
Continual Collaborative Distillation for Recommender System,Gyuseok Lee (Pohang University of Science and Technology); SeongKu Kang (University of Illinois Urbana-Champaign); Wonbin Kweon (Pohang University of Science and Technology); Hwanjo Yu (Pohang University of Science and Technology),"29 May, 2024"
Relevance Meets Diversity: A User-Centric Framework for Knowledge Exploration Through Recommendations,"Erica Coppolillo (Department of Computer Science, University of Calabria, ICAR-CNR); Giuseppe Manco (ICAR-CNR); Aristides Gionis (KTH Royal Institute of Technology)",August 2024
Shopping Trajectory Representation Learning with Pre-training for E-commerce Customer Understanding and Recommendation,"Yankai Chen (Department of Computer Science and Engineering, The Chinese University of Hong Kong); Quoc-Tuan Truong (Amazon); Xin Shen (Amazon); Jin Li (Amazon); Irwin King (Department of Computer Science and Engineering, The Chinese University of Hong Kong)",Not Found
Item-Difficulty-Aware Learning Path Recommendation: From a Real Walking Perspective,"Haotian Zhang (State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China); Shuanghong Shen (State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China, Institute of Artificial Intelligence, Hefei Comprehensive National Science Center); Bihan Xu (State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China); Zhenya Huang (State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China, Institute of Artificial Intelligence, Hefei Comprehensive National Science Center); Jinze Wu (iFLYTEK AI Research); Jing Sha (iFLYTEK AI Research); Shijin Wang (State Key Laboratory of Cognitive Intelligence, iFLYTEK AI Research)",Not Found
User Welfare Optimization in Recommender Systems with Competing Content Creators,"Fan Yao (University of Virginia); Yiming Liao (Meta Platforms, Inc.); Mingzhe Wu (University of Southern California); Chuanhao Li (Yale University); Yan Zhu (Google); James Yang (Meta Platforms, Inc.); Jingzhou Liu (Meta Platforms, Inc.); Qifan Wang (Meta Platforms, Inc.); Haifeng Xu (University of Chicago); Hongning Wang (University of Virginia)",April 2024
Conversational Dueling Bandits in Generalized Linear Models,Shuhua Yang (University of Science and Technology of China); Hui Yuan (Princeton University); Xiaoying Zhang (ByteDance); Mengdi Wang (Princeton University); Hong Zhang (University of Science and Technology of China); Huazheng Wang (Oregon State University),July 2024
DIET: Customized Slimming for Incompatible Networks in Sequential Recommendation,"Kairui Fu (Zhejiang University); Shengyu Zhang (Zhejiang University, Shanghai Institute for Advanced Study of Zhejiang University); Zheqi Lv (Zhejiang University); Jingyuan Chen (Zhejiang University); Jiwei Li (Zhejiang University)","13 June, 2024"
NeuroCut: A Neural Approach for Robust Graph Partitioning,"Rishi Shah (Department of Computer Science and Engineering, IIT Delhi); Krishnanshu Jain (Department of Computer Science and Engineering, IIT Delhi); Sahil Manchanda (Department of Computer Science and Engineering, IIT Delhi); Sourav Medya (University of Illinois at Chicago); Sayan Ranu (Department of Computer Science and Engineering, IIT Delhi)","18 October, 2023"
PSMC: Provable and Scalable Algorithms for Motif Conductance Based Graph Clustering,"Longlong Lin (College of Computer and Information Science, Southwest University); Tao Jia (College of Computer and Information Science, Southwest University); Zeli Wang (Chongqing University of Post and Telecommunications); Jin Zhao (School of Computer Science and Technology, Huazhong University of Science and Technology); Rong-Hua Li (Shenzhen Institute of Technology, Beijing Institute of Technology)",June 2024
Revisiting Modularity Maximization for Graph Clustering: A Contrastive Learning Perspective,Yunfei Liu (Ant Group); Jintang Li (Ant Group); Chen Yuehe (Ant Group); Ruofan Wu (Ant Group); Ericbk Wang (Ant Group); Jing Zhou (Ant Group); Sheng Tian (Ant Group); Shuheng Shen (Ant Group); Xing Fu (Ant Group); Changhua Meng (Ant Group); Weiqiang Wang (Ant Group); Liang Chen (Unaffiliated),June 2024
Expander Hierarchies for Normalized Cuts on Graphs,"Kathrin Hanauer (Faculty of Computer Science, University of Vienna); Monika Henzinger (Institute of Science and Technology Austria (ISTA)); Robin Münk (Technical University of Munich); Harald Räcke (Technical University of Munich); Maximilian Vötsch (Faculty of Computer Science, UniVie Doctoral School Computer Science DoCS, University of Vienna)",June 2024
An Unsupervised Learning Framework Combined with Heuristics for the Maximum Minimal Cut Problem,Huaiyuan Liu (Harbin Institute of Technology); Xianzhang Liu (Harbin Institute of Technology); Donghua Yang (Harbin Institute of Technology); Hongzhi Wang(Harbin Institute of Technology); Yingchi Long (Harbin Institute of Technology); Mengtong Ji (Harbin Institute of Technology); Dongjing Miao (Harbin Institute of Technology); Zhiyu Liang (Harbin Institute of Technology),August 2024
Dense Subgraph Discovery Meets Strong Triadic Closure,"Chamalee Wickrama Arachchi(University of Helsinki); Iiro Kumpulainen(University of Helsinki); Nikolaj Tatti (HIIT, University of Helsinki)",February 2025
Efficient and Effective Anchored Densest Subgraph Search: A Convex-programming based Approach,"Xiaowei Ye (Beijing Institute of Technology); Rong-Hua Li (Key Laboratory of Intelligent Supply Chain Technology, Longgang District, Shenzhen); Beijing Institute of Technology); Lei Liang (Ant Group); Zhizhen Liu (Ant Group); Longlong Lin (Southwest University); Guoren Wang (Beijing Institute of Technology)",Not Found
