Title,Authors,Institutes,Submission Date
Video Frame Interpolation via Direct Synthesis with the Event-based Reference,"['Yuhan Liu', 'Yongjian Deng', 'Hao Chen', 'Zhen Yang']","['', 'Beijing University of Technology', 'Southeast University', 'Beijing University of Technology']",Not Found
Lane2Seq: Towards Unified Lane Detection via Sequence Generation,['Kunyang Zhou'],['Southeast University'],February 2024
CorrMatch: Label Propagation via Correlation Matching for Semi-Supervised Semantic Segmentation,"['Bo-Yuan Sun', 'Yuqi Yang', 'Le Zhang', 'Ming-Ming Cheng', 'Qibin Hou']","['Nankai University', 'Nankai University', 'University of Electronic Science and Technology of China', 'Nankai University, Tsinghua University', 'Nankai University']","7 June, 2023"
Rethinking Boundary Discontinuity Problem for Oriented Object Detection,"['Hang Xu', 'Xinyuan Liu', 'Haonan Xu', 'Yike Ma', 'Zunjie Zhu', 'Chenggang Yan', 'Feng Dai']","['Hangzhou Dianzi University', 'Institute of Computing Technology, Chinese Academy of Sciences', 'ICT, Chinese Academy of Sciences', ', Chinese Academy of Sciences', 'Hangzhou Dianzi University', 'Hangzhou Dianzi University, Tsinghua University', 'ICT, Chinese Academy of Sciences']","17 May, 2023"
SPIDeRS: Structured Polarization for Invisible Depth and Reflectance Sensing,"['Tomoki Ichikawa', 'Shohei Nobuhara', 'Ko Nishino']","['Kyoto University', 'Kyoto Institute of Technology', 'Kyoto University']","7 December, 2023"
Dual Prior Unfolding for Snapshot Compressive Imaging,"['Jiancheng Zhang', 'Haijin Zeng', 'Jiezhang Cao', 'Yongyong Chen', 'Dengxiu Yu', 'Yinping Zhao']","['Northwestern Polytechnical University Xi&#x27;an', 'IMEC &amp; Universiteit Gent', 'ETH Zürich', 'Harbin Institute of Technology (Shenzhen)', 'Northwest Polytechnical University', 'Northwestern Polytechnical University']",Not Found
MCNet: Rethinking the Core Ingredients for Accurate and Efficient Homography Estimation,"['Haokai Zhu', 'Si-Yuan Cao', 'Jianxin Hu', 'Sitong Zuo', 'Beinan Yu', 'Jiacheng Ying', 'Junwei Li', 'Hui-Liang Shen']","['Zhejiang University', 'Zhejiang University', 'Zhejiang University', 'Beijing University of Posts and Telecommunications', 'Zhejiang University', 'Zhejiang University', 'Zhejiang University', None]",Not Found
Predicated Diffusion: Predicate Logic-Based Attention Guidance for Text-to-Image Diffusion Models,"['Kota Sueyoshi', 'Takashi Matsubara']","['Osaka University', 'Hokkaido Universiry']","3 October, 2023"
CuVLER: Enhanced Unsupervised Object Discoveries through Exhaustive Self-Supervised Transformers,"['Shahaf Arica', 'Or Rubin', 'Sapir Gershov', 'Shlomi Laufer']","['Technion - Israel Institute of Technology', 'Technion - Israel Institute of Technology', 'Technion - Israel Institute of Technology', 'Technion']",March 2024
Bidirectional Autoregessive Diffusion Model for Dance Generation,"['Canyu Zhang', 'Youbao Tang', 'NING Zhang', 'Ruei-Sung Lin', 'Mei Han', 'Jing Xiao', 'Song Wang']","['University of South Carolina', 'PAII INC.', 'PAII Inc.', 'PAII Inc', 'PAII Inc.', 'Pingan Group', 'University of South Carolina']",Not Found
