Title,Authors,Institutes,Submission Date
Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,"['Stella Biderman', 'Hailey Schoelkopf', 'Quentin Gregory Anthony', 'Herbie Bradley', ""Kyle O'Brien"", 'Eric Hallahan', 'Mohammad Aflah Khan', 'Shivanshu Purohit', 'USVSN Sai Prashanth', 'Edward Raff', 'Aviya Skowron', 'Lintang Sutawika', 'Oskar van der Wal']","['EleutherAI(eleuther.ai)', 'EleutherAI(eleuther.ai)', 'Model Training,Zyphra Technologies(zyphra.com)', 'University of Cambridge(cam.ac.uk)', 'Microsoft(microsoft.com)', 'EleutherAI(eleuther.ai)', 'MPI-SWS(mpi-sws.org)', 'Jai Narain Vyas University(jnvu.edu.in)', 'Research,Microsoft(microsoft.com)', 'CrowdStrike(crowdstrike.com)', 'Not Found', 'Language Technologies Institute,Carnegie Mellon University(cmu.edu)', 'ILLC,University of Amsterdam(uva.nl)']","3 April, 2023"
Bayes-optimal Learning of Deep Random Networks of Extensive-width,"['Hugo Cui', 'Florent Krzakala', 'Lenka Zdeborova']","['Not Found', 'Swiss Federal Institute of Technology Lausanne(epfl.ch)', 'Physics, Computer Science,Swiss Federal Institute of Technology Lausanne(epfl.ch)']","1 February, 2023"
Structure-informed Language Models Are Protein Designers,"['Zaixiang Zheng', 'Yifan Deng', 'Dongyu Xue', 'Yi Zhou', 'Fei YE', 'Quanquan Gu']","['ByteDance Seed(bytedance.com)', 'Department of Computer Science, University of Wisconsin - Madison(cs.wisc.edu)', 'ByteDance AI Lab(bytedance.com)', 'ByteDance AI Lab(bytedance.com)', 'ByteDance Seed(bytedance.com)', 'ByteDance Seed(bytedance.com)']","3 February, 2023"
Flipping Coins to Estimate Pseudocounts for Exploration in Reinforcement Learning,"['Sam Lobel', 'Akhil Bagaria', 'George Konidaris']","['Brown University(brown.edu)', 'SCOT,Amazon(amazon.com)', 'Brown University(brown.edu)']",June 2023
Hyena Hierarchy: Towards Larger Convolutional Language Models,"['Michael Poli', 'Stefano Massaroli', 'Eric Nguyen', 'Daniel Y Fu', 'Tri Dao', 'Stephen Baccus', 'Yoshua Bengio', 'Stefano Ermon', 'Christopher Re']","['Stanford University(stanford.edu)', 'RIKEN(riken.jp)', 'Stanford University(stanford.edu)', 'Stanford University(stanford.edu)', 'Computer Science,Princeton University(princeton.edu)', 'Not Found', 'computer science and operations research,University of Montreal(umontreal.ca)', 'Computer Science,Stanford University(stanford.edu)', 'Not Found']","21 February, 2023"
GibbsDDRM: A Partially Collapsed Gibbs Sampler for Solving Blind Inverse Problems with Denoising Diffusion Restoration,"['Naoki Murata', 'Koichi Saito', 'Chieh-Hsin Lai', 'Yuhta Takida', 'Toshimitsu Uesaka', 'Yuki Mitsufuji', 'Stefano Ermon']","['Sony AI(sony.com)', 'Sony AI America(sony.com)', 'Sony AI(sony.com)', 'Sony AI(sony.com)', 'Sony AI(sony.com)', 'Sony AI(sony.com)', 'Computer Science,Stanford University(stanford.edu)']","30 January, 2023"
Unifying Nesterov's Accelerated Gradient Methods for Convex and Strongly Convex Objective Functions,"['Jungbin Kim', 'Insoon Yang']","['Seoul National University(snu.ac.kr)', 'Seoul National University(snu.ac.kr)']",January 2023
HETAL: Efficient Privacy-preserving Transfer Learning with Homomorphic Encryption,"['Seewoo Lee', 'Garam Lee', 'Jung Woo Kim', 'Junbum Shin', 'Mun-Kyu Lee']","['University of California, Berkeley(berkeley.edu)', 'CryptoLab(cryptolab.co.kr)', 'Seoul National University(snu.ac.kr)', 'CTO division,CryptoLab(cryptolab.co.kr)', 'Seoul National University(snu.ac.kr)']",March 2024
Direct Parameterization of Lipschitz-Bounded Deep Networks,"['Ruigang Wang', 'Ian Manchester']","['University of Sydney(sydney.edu.au)', 'University of Sydney(sydney.edu.au)']","26 January, 2023"
Towards Theoretical Understanding of Inverse Reinforcement Learning,"['Alberto Maria Metelli', 'Filippo Lazzati', 'Marcello Restelli']","['Politecnico di Milano(polimi.it)', 'Politecnico di Milano(polimi.it)', 'Department of Electronics, Information and Bioengineering,Politecnico di Milano(polimi.it)']",April 2023
