Title,Authors,Institutes,Submission Date
INCLUDE: Evaluating Multilingual Language Understanding with Regional Knowledge,"['Angelika Romanou', 'Negar Foroutan', 'Anna Sotnikova', 'Sree Harsha Nelaturu', 'Shivalika Singh', 'Rishabh Maheshwary', 'Micol Altomare', 'Zeming Chen', 'Mohamed A. Haggag', 'Snegha A', 'Alfonso Amayuelas', 'Azril Hafizi Amirudin', 'Danylo Boiko', 'Michael Chang', 'Jenny Chim', 'Gal Cohen', 'Aditya Kumar Dalmia', 'Abraham Diress', 'Sharad Duwal', 'Daniil Dzenhaliou', 'Daniel Fernando Erazo Florez', 'Fabian Farestam', 'Joseph Marvin Imperial', 'Shayekh Bin Islam', 'Perttu Isotalo', 'Maral Jabbarishiviari', 'Börje F. Karlsson', 'Eldar Khalilov', 'Christopher Klamm', 'Fajri Koto', 'Dominik Krzemiński', 'Gabriel Adriano de Melo', 'Syrielle Montariol', 'Yiyang Nan', 'Joel Niklaus', 'Jekaterina Novikova', 'Johan Samir Obando Ceron', 'Debjit Paul', 'Esther Ploeger', 'Jebish Purbey', 'Swati Rajwal', 'Selvan Sunitha Ravi', 'Sara Rydell', 'Roshan Santhosh', 'Drishti Sharma', 'Marjana Prifti Skenduli', 'Arshia Soltani Moakhar', 'Bardia soltani moakhar', 'Ayush Kumar Tarun', 'Azmine Toushik Wasi', 'Thenuka Ovin Weerasinghe', 'Serhan Yilmaz', 'Mike Zhang', 'Imanol Schlag', 'Marzieh Fadaee', 'Sara Hooker', 'Antoine Bosselut']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Meta Superintelligence Labs,Meta(meta.com)', 'School of Electrical Engineering and Computer Science,KTH Royal Institute of Technology(kth.se)', 'Adobe Systems(adobe.com)', 'EE,Cohere Labs(cohere.ai)', 'Computer Science,University of New York Tirana(unyt.edu.al)', 'Computer Science,University of Maryland, College Park(umd.edu)', 'Industrial Engineering,Sharif University of Technology(sharif.ir)', 'EDIC,EPFL - EPF Lausanne(epfl.ch)', 'Pi School(picampus-school.com)', 'University of Colombo School of Computing(cmb.ac.lk)', 'Department of Computer Science,Technische Universität Darmstadt(tu-darmstadt.de)', 'Computer Science,Aalborg University (Copenhagen)(cs.aau.dk)', 'ETHZ - ETH Zurich(ethz.ch)', 'Cohere Labs(cohere.com)', 'Cohere For AI(cohere.com)', 'EPFL(epfl.ch)']",November 2024
Deep Learning Alternatives Of The Kolmogorov Superposition Theorem,"['Leonardo Ferreira Guilhoto', 'Paris Perdikaris']","['Applied Mathematics & Computational Science,University of Pennsylvania, University of Pennsylvania(upenn.edu)', 'University of Pennsylvania(upenn.edu)']","2 October, 2024"
Vision Language Models are In-Context Value Learners,"['Yecheng Jason Ma', 'Joey Hejna', 'Chuyuan Fu', 'Dhruv Shah', 'Jacky Liang', 'Zhuo Xu', 'Sean Kirmani', 'Peng Xu', 'Danny Driess', 'Ted Xiao', 'Osbert Bastani', 'Dinesh Jayaraman', 'Wenhao Yu', 'Tingnan Zhang', 'Dorsa Sadigh', 'Fei Xia']","['Not Found', 'Computer Science,Stanford University(stanford.edu)', 'Google(google.com)', 'Google DeepMind(google.com)', 'Google(google.com)', 'Google DeepMind(google.com)', 'Google DeepMind(google.com)', 'Google(google.com)', 'Physical Intelliigence(physicalintelligence.company)', 'Google(google.com)', 'Computer and Information Science,University of Pennsylvania(upenn.edu)', 'University of Pennsylvania, University of Pennsylvania(upenn.edu)', 'Google(google.com)', 'Google(google.com)', 'Google(google.com)', 'Google(google.com)']",November 2024
Approaching Rate-Distortion Limits in Neural Compression with Lattice Transform Coding,"['Eric Lei', 'Hamed Hassani', 'Shirin Saeedi Bidokhti']","['Not Found', 'University of Pennsylvania(upenn.edu)', 'University of Pennsylvania, University of Pennsylvania(seas.upenn.edu)']","12 March, 2024"
"Wasserstein Distances, Neuronal Entanglement, and Sparsity","['Shashata Sawmya', 'Linghao Kong', 'Ilia Markov', 'Dan Alistarh', 'Nir N Shavit']","['EECS,Massachusetts Institute of Technology(mit.edu)', 'Electrical Engineering and Computer Science,Massachusetts Institute of Technology(mit.edu)', 'Institute of Science and Technology Austria(ist.ac.at)', 'Institute of Science and Technology(ist.ac.at)', 'EECS,Massachusetts Institute of Technology(mit.edu)']","24 May, 2024"
Walk the Talk? Measuring the Faithfulness of Large Language Model Explanations,"['Katie Matton', 'Robert Ness', 'John Guttag', 'Emre Kiciman']","['Massachusetts Institute of Technology(mit.edu)', 'Microsoft Research(microsoft.com)', 'Elec. Eng. and Comp. Sci.,Massachusetts Institute of Technology(mit.edu)', 'Microsoft(microsoft.com)']",Not Found
Implicit Bias of Mirror Flow for Shallow Neural Networks in Univariate Regression,"['Shuang Liang', 'Guido Montufar']","['University of California, Los Angeles(ucla.edu)', 'UCLA(math.ucla.edu)']","4 October, 2024"
WildBench: Benchmarking LLMs with Challenging Tasks from Real Users in the Wild,"['Bill Yuchen Lin', 'Yuntian Deng', 'Khyathi Chandu', 'Abhilasha Ravichander', 'Valentina Pyatkin', 'Nouha Dziri', 'Ronan Le Bras', 'Yejin Choi']","['xAI(x.ai)', 'University of Waterloo(uwaterloo.ca)', 'Not Found', 'MPI-SWS(mpi-sws.org)', 'Not Found', 'Not Found', 'Allen Institute for Artificial Intelligence(allenai.org)', 'Computer Science,Computer Science Department, Stanford University(cs.stanford.edu)']","7 June, 2024"
Revisiting Zeroth-Order Optimization:  Minimum-Variance Two-Point Estimators and  Directionally Aligned Perturbations,"['Shaocong Ma', 'Heng Huang']","['University of Maryland, College Park(umd.edu)', 'Department of Computer Science, University of Maryland, College Park(cs.umd.edu)']",October 2025
Adaptive Batch Size for Privately Finding Second-Order Stationary Points,"['Daogao Liu', 'Kunal Talwar']","['Google(google.com)', 'Apple(apple.com)']","9 October, 2024"
Adversarial Perturbations Cannot Reliably Protect Artists From Generative AI,"['Robert Hönig', 'Javier Rando', 'Nicholas Carlini', 'Florian Tramèr']","['Swiss Federal Institute of Technology(ethz.ch)', 'Anthropic(anthropic.com)', 'Anthropic(anthropic.com)', 'ETHZ - ETH Zurich(ethz.ch)']","17 June, 2024"
Better autoregressive regression with LLMs via regression-aware fine-tuning,"['Michal Lukasik', 'Zhao Meng', 'Harikrishna Narasimhan', 'Yin-Wen Chang', 'Aditya Krishna Menon', 'Felix Yu', 'Sanjiv Kumar']","['Google Research(google.com)', 'Anthropic(anthropic.com)', 'Google(google.com)', 'Google(google.com)', 'Google(google.com)', 'Google(google.com)', 'Not Found']",Not Found
Analyzing Neural Scaling Laws in Two-Layer Networks with Power-Law Data Spectra,"['Roman Worschech', 'Bernd Rosenow']","['Not Found', 'Not Found']",October 2024
Differential learning kinetics govern the transition from memorization to generalization during in-context learning,"['Alex Nguyen', 'Gautam Reddy']","['Not Found', 'Not Found']","27 November, 2024"
"Multi-session, multi-task neural decoding from distinct cell-types and brain regions","['Mehdi Azabou', 'Krystal Xuejing Pan', 'Vinam Arora', 'Ian Jarratt Knight', 'Eva L Dyer', 'Blake Aaron Richards']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
