Title,Authors,Institutes,Submission Date
Subquadratic Algorithms for Kernel Matrices via Kernel Density Estimation,"['Ainesh Bakshi', 'Piotr Indyk', 'Praneeth Kacham', 'Sandeep Silwal', 'Samson Zhou']","['Not Found', 'Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
A Higher Precision Algorithm for Computing the $1$-Wasserstein Distance,"['Pankaj K Agarwal', 'Sharath Raghvendra', 'Pouyan Shirzadian', 'Rachita Sowle']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",Not Found
Revisiting adapters with adversarial training,"['Sylvestre-Alvise Rebuffi', 'Francesco Croce', 'Sven Gowal']","['Not Found', 'Not Found', 'Not Found']",October 2022
UNICORN: A Unified Backdoor Trigger Inversion Framework,"['Zhenting Wang', 'Kai Mei', 'Juan Zhai', 'Shiqing Ma']","['Not Found', 'Not Found', 'Not Found', 'Not Found']",April 2023
ExpressivE: A Spatio-Functional Embedding For Knowledge Graph Completion,"['Aleksandar Pavlović', 'Emanuel Sallinger']","['Not Found', 'Not Found']","8 June, 2022"
Localized Randomized Smoothing for Collective Robustness Certification,"['Jan Schuchardt', 'Tom Wollschläger', 'Aleksandar Bojchevski', 'Stephan Günnemann']","['Not Found', 'Not Found', 'University of Cologne(uni-koeln.de)', 'Technical University Munich(tum.de)']","28 October, 2022"
Learning Probabilistic Topological Representations Using Discrete Morse Theory,"['Xiaoling Hu', 'Dimitris Samaras', 'Chao Chen']","['Martinos Center for Biomedical Imaging,Harvard Medical School(harvard.edu)', 'Computer Science,Stony Brook University(cs.stonybrook.edu)', 'State University of New York at Stony Brook(stonybrook.edu)']","3 June, 2022"
Model-based Causal Bayesian Optimization,"['Scott Sussex', 'Anastasia Makarova', 'Andreas Krause']","['Swiss Federal Institute of Technology(ethz.ch)', 'Google DeepMind(google.com)', 'Computer Science,ETH Zurich(ethz.ch)']","18 November, 2022"
Training language models to summarize narratives improves brain alignment,"['Khai Loong Aw', 'Mariya Toneva']","['Stanford University(stanford.edu)', 'Max Planck Institute for Software Systems(mpi-sws.org)']","21 December, 2022"
Dual Algorithmic Reasoning,"['Danilo Numeroso', 'Davide Bacciu', 'Petar Veličković']","['iGenius(igenius.ai)', 'University of Pisa(unipi.it)', 'Department of Computer Science and Technology,University of Cambridge(cam.ac.uk)']",May 2025
